influencer_id,influencer_size_category,followers_count,avg_reach,avg_impressions,engagement_rate,avg_engagements_per_post,audience_gender_split,audience_age_split,audience_country_top3,audience_city_top3,follower_growth_rate
213,macro,591255,237883,417378,0.0161,9519,"{'male': 22.45, 'female': 77.55}","{'13-17': 12.03, '18-24': 21.05, '25-34': 12.78, '35-44': 19.55, '45-54': 11.28, '55+': 23.31}","{'UK': 29.25, 'UAE': 22.64, 'India': 19.81}","{'London': 21.88, 'Mumbai': 21.09, 'Hyderabad': 12.5}",0.098
214,micro,23276,12793,20756,0.0502,1168,"{'male': 55.56, 'female': 44.44}","{'13-17': 4.42, '18-24': 14.16, '25-34': 8.85, '35-44': 18.58, '45-54': 32.74, '55+': 21.24}","{'UK': 24.82, 'UAE': 23.4, 'USA': 21.99}","{'New York': 18.04, 'London': 17.01, 'Kolkata': 16.49}",0.182
215,mid,479930,243068,265944,0.0301,14445,"{'male': 27.78, 'female': 72.22}","{'13-17': 8.97, '18-24': 32.05, '25-34': 15.38, '35-44': 7.69, '45-54': 28.21, '55+': 7.69}","{'UK': 24.05, 'UAE': 21.52, 'USA': 20.25}","{'Delhi': 20.1, 'Bangalore': 19.6, 'Hyderabad': 15.58}",0.098
216,micro,59048,31388,35483,0.0938,5538,"{'male': 34.78, 'female': 65.22}","{'13-17': 16.9, '18-24': 32.39, '25-34': 18.31, '35-44': 7.04, '45-54': 11.27, '55+': 14.08}","{'UK': 29.73, 'USA': 20.72, 'Germany': 20.72}","{'Hyderabad': 15.87, 'London': 15.87, 'Mumbai': 14.42}",0.063
217,nano,2591,1290,2527,0.0847,219,"{'male': 55.0, 'female': 45.0}","{'13-17': 15.73, '18-24': 39.33, '25-34': 5.62, '35-44': 17.98, '45-54': 10.11, '55+': 11.24}","{'UK': 48.75, 'India': 20.0, 'UAE': 12.5}","{'Kolkata': 22.41, 'Mumbai': 17.24, 'London': 14.94}",0.14
218,micro,32759,15512,24083,0.0886,2902,"{'male': 85.11, 'female': 14.89}","{'13-17': 17.31, '18-24': 28.85, '25-34': 8.65, '35-44': 6.73, '45-54': 30.77, '55+': 7.69}","{'India': 28.57, 'Germany': 23.57, 'UAE': 21.43}","{'Kolkata': 27.08, 'Chennai': 16.67, 'New York': 14.58}",0.199
219,mid,409695,239455,410710,0.0367,15035,"{'male': 69.64, 'female': 30.36}","{'13-17': 12.12, '18-24': 8.08, '25-34': 33.33, '35-44': 11.11, '45-54': 14.14, '55+': 21.21}","{'Germany': 37.89, 'UK': 25.26, 'UAE': 17.89}","{'Delhi': 17.65, 'London': 17.65, 'Hyderabad': 16.67}",0.083
220,micro,74223,30936,47906,0.0625,4638,"{'male': 21.28, 'female': 78.72}","{'13-17': 8.08, '18-24': 5.05, '25-34': 10.1, '35-44': 35.35, '45-54': 25.25, '55+': 16.16}","{'India': 26.24, 'UAE': 22.7, 'Germany': 21.28}","{'Bangalore': 16.12, 'Chennai': 16.12, 'Hyderabad': 15.7}",0.079
221,micro,60281,35689,44159,0.0762,4593,"{'male': 56.0, 'female': 44.0}","{'13-17': 27.87, '18-24': 14.75, '25-34': 9.84, '35-44': 13.11, '45-54': 23.77, '55+': 10.66}","{'UK': 37.65, 'India': 31.76, 'USA': 11.76}","{'Mumbai': 19.39, 'Kolkata': 18.18, 'Delhi': 17.58}",0.022
222,nano,9638,5020,8829,0.1304,1256,"{'male': 17.78, 'female': 82.22}","{'13-17': 18.46, '18-24': 5.38, '25-34': 21.54, '35-44': 16.15, '45-54': 8.46, '55+': 30.0}","{'India': 27.34, 'UAE': 27.34, 'Germany': 23.74}","{'Delhi': 17.19, 'Chennai': 17.19, 'Hyderabad': 16.74}",0.059
223,mega,3932089,1817770,2746647,0.0061,23985,"{'male': 28.0, 'female': 72.0}","{'13-17': 11.98, '18-24': 20.96, '25-34': 20.36, '35-44': 13.17, '45-54': 17.96, '55+': 15.57}","{'USA': 29.01, 'UAE': 27.48, 'UK': 19.85}","{'London': 19.76, 'Delhi': 18.56, 'Hyderabad': 17.37}",0.138
224,nano,5254,2427,4281,0.1041,546,"{'male': 71.43, 'female': 28.57}","{'13-17': 3.94, '18-24': 10.24, '25-34': 29.13, '35-44': 13.39, '45-54': 15.75, '55+': 27.56}","{'Germany': 33.03, 'USA': 24.77, 'UAE': 20.18}","{'London': 18.59, 'Mumbai': 17.31, 'Chennai': 12.82}",0.059
225,micro,90086,49223,92912,0.043,3873,"{'male': 33.33, 'female': 66.67}","{'13-17': 24.84, '18-24': 13.04, '25-34': 8.07, '35-44': 18.01, '45-54': 11.8, '55+': 24.22}","{'UAE': 31.3, 'India': 21.74, 'UK': 21.74}","{'Bangalore': 19.65, 'Kolkata': 18.5, 'New York': 17.34}",0.065
226,micro,94915,54820,83278,0.0344,3265,"{'male': 27.91, 'female': 72.09}","{'13-17': 19.01, '18-24': 28.17, '25-34': 9.15, '35-44': 20.42, '45-54': 5.63, '55+': 17.61}","{'UAE': 31.9, 'USA': 23.28, 'UK': 18.1}","{'Kolkata': 18.78, 'Delhi': 17.77, 'Hyderabad': 17.26}",-0.012
227,nano,7864,4376,6064,0.0768,603,"{'male': 58.0, 'female': 42.0}","{'13-17': 32.22, '18-24': 6.67, '25-34': 8.89, '35-44': 16.67, '45-54': 22.22, '55+': 13.33}","{'Germany': 29.91, 'India': 29.06, 'UK': 24.79}","{'Hyderabad': 18.27, 'Chennai': 18.27, 'Delhi': 17.77}",0.074
228,mega,2495520,1404067,1962088,0.0175,43671,"{'male': 61.76, 'female': 38.24}","{'13-17': 8.0, '18-24': 24.0, '25-34': 10.67, '35-44': 21.33, '45-54': 12.0, '55+': 24.0}","{'UK': 22.46, 'India': 21.01, 'USA': 21.01}","{'Chennai': 19.49, 'Kolkata': 18.46, 'Hyderabad': 17.95}",0.084
229,mega,1938598,1007017,1321849,0.0285,55250,"{'male': 56.0, 'female': 44.0}","{'13-17': 5.6, '18-24': 8.0, '25-34': 29.6, '35-44': 24.8, '45-54': 4.8, '55+': 27.2}","{'Germany': 39.36, 'India': 23.4, 'UK': 20.21}","{'Mumbai': 19.02, 'London': 18.4, 'Hyderabad': 15.95}",0.064
230,nano,3947,1906,2089,0.1424,562,"{'male': 48.0, 'female': 52.0}","{'13-17': 18.25, '18-24': 5.84, '25-34': 7.3, '35-44': 23.36, '45-54': 20.44, '55+': 24.82}","{'India': 33.33, 'USA': 27.38, 'UK': 16.67}","{'London': 17.65, 'Bangalore': 15.84, 'Chennai': 14.93}",0.007
231,micro,57787,33959,53613,0.0787,4547,"{'male': 42.37, 'female': 57.63}","{'13-17': 13.21, '18-24': 11.95, '25-34': 9.43, '35-44': 21.38, '45-54': 21.38, '55+': 22.64}","{'USA': 35.87, 'UAE': 25.0, 'India': 14.13}","{'Chennai': 24.05, 'London': 20.25, 'Hyderabad': 15.19}",0.121
232,mid,463560,259202,300465,0.0322,14926,"{'male': 25.53, 'female': 74.47}","{'13-17': 3.68, '18-24': 21.47, '25-34': 19.02, '35-44': 20.25, '45-54': 19.63, '55+': 15.95}","{'India': 24.46, 'UK': 22.3, 'Germany': 20.86}","{'Mumbai': 16.31, 'Delhi': 15.45, 'Bangalore': 15.45}",0.18
233,nano,9431,4134,7373,0.101,952,"{'male': 16.67, 'female': 83.33}","{'13-17': 20.29, '18-24': 5.07, '25-34': 17.39, '35-44': 19.57, '45-54': 22.46, '55+': 15.22}","{'UK': 28.83, 'Germany': 27.03, 'USA': 16.22}","{'Chennai': 19.32, 'Hyderabad': 18.84, 'Mumbai': 14.49}",-0.026
234,micro,94198,42858,77072,0.0924,8703,"{'male': 22.58, 'female': 77.42}","{'13-17': 25.74, '18-24': 4.41, '25-34': 23.53, '35-44': 27.94, '45-54': 10.29, '55+': 8.09}","{'India': 33.04, 'Germany': 23.21, 'UK': 16.96}","{'Chennai': 17.96, 'New York': 16.5, 'Bangalore': 14.56}",0.017
235,mid,399004,208341,282792,0.0582,23222,"{'male': 38.1, 'female': 61.9}","{'13-17': 9.45, '18-24': 14.17, '25-34': 4.72, '35-44': 23.62, '45-54': 19.69, '55+': 28.35}","{'UK': 32.2, 'India': 22.88, 'UAE': 16.95}","{'Chennai': 18.45, 'Delhi': 15.53, 'New York': 15.05}",0.006
236,micro,16572,7223,11072,0.0301,498,"{'male': 27.27, 'female': 72.73}","{'13-17': 26.87, '18-24': 13.43, '25-34': 18.66, '35-44': 14.93, '45-54': 11.19, '55+': 14.93}","{'India': 28.57, 'UAE': 24.76, 'Germany': 20.0}","{'Mumbai': 17.17, 'Hyderabad': 17.17, 'Kolkata': 13.73}",0.108
237,nano,2192,890,1301,0.1451,318,"{'male': 62.9, 'female': 37.1}","{'13-17': 15.24, '18-24': 23.78, '25-34': 7.93, '35-44': 24.39, '45-54': 21.34, '55+': 7.32}","{'India': 24.19, 'UAE': 22.58, 'UK': 20.97}","{'Bangalore': 16.0, 'London': 14.8, 'New York': 14.4}",0.062
238,macro,723806,357143,622202,0.0367,26563,"{'male': 21.28, 'female': 78.72}","{'13-17': 27.08, '18-24': 21.53, '25-34': 15.28, '35-44': 12.5, '45-54': 8.33, '55+': 15.28}","{'UK': 30.09, 'USA': 28.32, 'Germany': 20.35}","{'Kolkata': 19.11, 'Bangalore': 18.47, 'Delhi': 14.65}",0.087
239,mid,225292,103897,145693,0.0694,15635,"{'male': 52.63, 'female': 47.37}","{'13-17': 28.47, '18-24': 20.44, '25-34': 4.38, '35-44': 21.17, '45-54': 13.14, '55+': 12.41}","{'Germany': 23.88, 'USA': 22.39, 'UK': 20.9}","{'Hyderabad': 22.94, 'Chennai': 20.0, 'Bangalore': 13.53}",0.046
240,nano,8729,4562,4971,0.0974,850,"{'male': 54.55, 'female': 45.45}","{'13-17': 21.71, '18-24': 20.93, '25-34': 13.95, '35-44': 11.63, '45-54': 12.4, '55+': 19.38}","{'UAE': 26.57, 'USA': 24.48, 'UK': 17.48}","{'Mumbai': 20.42, 'Bangalore': 19.9, 'London': 17.8}",0.073
241,micro,94959,55655,108101,0.0354,3361,"{'male': 42.11, 'female': 57.89}","{'13-17': 14.41, '18-24': 13.51, '25-34': 23.42, '35-44': 4.5, '45-54': 26.13, '55+': 18.02}","{'UK': 25.17, 'UAE': 24.49, 'Germany': 24.49}","{'Chennai': 18.95, 'Kolkata': 18.95, 'Bangalore': 17.89}",0.054
242,macro,773435,339462,606859,0.0457,35345,"{'male': 68.97, 'female': 31.03}","{'13-17': 8.05, '18-24': 17.24, '25-34': 11.49, '35-44': 5.75, '45-54': 45.98, '55+': 11.49}","{'India': 27.78, 'UK': 27.78, 'UAE': 18.25}","{'Hyderabad': 20.73, 'Mumbai': 17.1, 'Bangalore': 15.03}",0.122
243,macro,791076,347016,530381,0.0373,29507,"{'male': 61.54, 'female': 38.46}","{'13-17': 22.73, '18-24': 15.34, '25-34': 3.41, '35-44': 21.02, '45-54': 15.34, '55+': 22.16}","{'UK': 30.23, 'India': 29.46, 'USA': 22.48}","{'Chennai': 20.11, 'Hyderabad': 18.39, 'Mumbai': 17.82}",0.066
244,nano,9601,4845,9255,0.0709,680,"{'male': 46.97, 'female': 53.03}","{'13-17': 21.5, '18-24': 15.89, '25-34': 8.41, '35-44': 13.08, '45-54': 14.95, '55+': 26.17}","{'Germany': 34.51, 'UAE': 25.66, 'UK': 17.7}","{'Delhi': 24.68, 'New York': 22.08, 'Bangalore': 14.29}",0.165
245,mid,365873,203754,407318,0.0364,13317,"{'male': 44.29, 'female': 55.71}","{'13-17': 19.16, '18-24': 17.96, '25-34': 18.56, '35-44': 5.39, '45-54': 16.77, '55+': 22.16}","{'India': 31.18, 'UK': 30.11, 'USA': 21.51}","{'Chennai': 17.37, 'Bangalore': 16.32, 'Delhi': 15.26}",0.154
246,nano,1508,680,858,0.0691,104,"{'male': 50.0, 'female': 50.0}","{'13-17': 18.07, '18-24': 10.84, '25-34': 18.67, '35-44': 21.69, '45-54': 22.29, '55+': 8.43}","{'India': 29.81, 'USA': 23.08, 'Germany': 22.12}","{'London': 27.5, 'Hyderabad': 16.67, 'Chennai': 15.83}",-0.045
247,macro,614979,270895,330006,0.0445,27366,"{'male': 44.44, 'female': 55.56}","{'13-17': 15.79, '18-24': 23.68, '25-34': 13.16, '35-44': 21.71, '45-54': 22.37, '55+': 3.29}","{'USA': 33.04, 'Germany': 30.43, 'UAE': 17.39}","{'Chennai': 22.14, 'London': 15.71, 'Bangalore': 15.0}",0.016
248,micro,29308,16243,19365,0.0481,1409,"{'male': 47.83, 'female': 52.17}","{'13-17': 25.0, '18-24': 9.38, '25-34': 25.0, '35-44': 12.5, '45-54': 8.33, '55+': 19.79}","{'USA': 37.23, 'India': 20.21, 'UAE': 19.15}","{'London': 19.55, 'Mumbai': 17.32, 'Kolkata': 15.64}",0.172
249,micro,71002,30187,53879,0.0342,2428,"{'male': 65.0, 'female': 35.0}","{'13-17': 21.53, '18-24': 15.97, '25-34': 14.58, '35-44': 20.83, '45-54': 20.14, '55+': 6.94}","{'Germany': 30.63, 'USA': 27.03, 'UK': 24.32}","{'Kolkata': 20.1, 'Bangalore': 19.59, 'New York': 16.49}",0.117
250,micro,32520,14946,21491,0.052,1691,"{'male': 58.33, 'female': 41.67}","{'13-17': 25.35, '18-24': 3.52, '25-34': 9.15, '35-44': 20.42, '45-54': 25.35, '55+': 16.2}","{'Germany': 25.86, 'UAE': 21.55, 'UK': 18.1}","{'Hyderabad': 19.87, 'London': 16.67, 'Chennai': 15.38}",0.037
251,micro,13850,6098,11205,0.0452,626,"{'male': 35.0, 'female': 65.0}","{'13-17': 22.56, '18-24': 11.28, '25-34': 24.06, '35-44': 10.53, '45-54': 23.31, '55+': 8.27}","{'India': 28.12, 'USA': 26.56, 'UK': 22.66}","{'Delhi': 19.42, 'London': 19.42, 'Bangalore': 18.45}",0.167
252,mid,245885,112377,132876,0.0585,14384,"{'male': 77.42, 'female': 22.58}","{'13-17': 5.81, '18-24': 13.95, '25-34': 6.98, '35-44': 34.88, '45-54': 29.07, '55+': 9.3}","{'UAE': 30.61, 'Germany': 28.57, 'India': 17.35}","{'Kolkata': 21.99, 'Delhi': 16.31, 'Chennai': 15.6}",0.176
253,micro,80816,35618,49992,0.0871,7039,"{'male': 72.73, 'female': 27.27}","{'13-17': 25.0, '18-24': 19.59, '25-34': 9.46, '35-44': 16.22, '45-54': 16.22, '55+': 13.51}","{'UK': 29.77, 'UAE': 25.19, 'Germany': 23.66}","{'New York': 16.53, 'London': 16.1, 'Bangalore': 15.68}",0.169
254,micro,10525,5659,6707,0.0968,1018,"{'male': 49.12, 'female': 50.88}","{'13-17': 19.88, '18-24': 18.13, '25-34': 9.94, '35-44': 11.7, '45-54': 18.13, '55+': 22.22}","{'India': 28.24, 'UK': 27.48, 'Germany': 25.95}","{'Bangalore': 22.64, 'Chennai': 15.72, 'Mumbai': 15.09}",0.189
255,macro,875806,443455,868753,0.0416,36433,"{'male': 75.0, 'female': 25.0}","{'13-17': 20.55, '18-24': 19.18, '25-34': 22.6, '35-44': 20.55, '45-54': 6.16, '55+': 10.96}","{'UAE': 28.32, 'USA': 26.55, 'Germany': 25.66}","{'New York': 16.67, 'Delhi': 15.81, 'Kolkata': 15.81}",-0.011
256,micro,33192,14791,24411,0.0778,2582,"{'male': 46.97, 'female': 53.03}","{'13-17': 22.7, '18-24': 21.99, '25-34': 26.95, '35-44': 13.48, '45-54': 3.55, '55+': 11.35}","{'USA': 32.79, 'UAE': 28.69, 'UK': 22.95}","{'New York': 22.37, 'Delhi': 21.71, 'Kolkata': 16.45}",0.109
257,nano,8196,3560,4834,0.1474,1208,"{'male': 53.7, 'female': 46.3}","{'13-17': 5.17, '18-24': 4.31, '25-34': 30.17, '35-44': 23.28, '45-54': 5.17, '55+': 31.9}","{'USA': 31.09, 'Germany': 21.85, 'India': 17.65}","{'London': 22.94, 'Chennai': 15.88, 'Bangalore': 13.53}",0.167
258,micro,15774,9160,9244,0.0933,1471,"{'male': 38.71, 'female': 61.29}","{'13-17': 12.16, '18-24': 18.24, '25-34': 12.16, '35-44': 15.54, '45-54': 14.86, '55+': 27.03}","{'UK': 24.84, 'UAE': 24.22, 'Germany': 19.25}","{'Chennai': 17.84, 'Bangalore': 15.68, 'Delhi': 14.05}",0.114
259,nano,9821,4055,5146,0.1128,1107,"{'male': 39.02, 'female': 60.98}","{'13-17': 24.64, '18-24': 19.57, '25-34': 3.62, '35-44': 17.39, '45-54': 12.32, '55+': 22.46}","{'UAE': 34.48, 'USA': 25.86, 'UK': 17.24}","{'Hyderabad': 16.46, 'Chennai': 16.46, 'New York': 13.17}",0.051
260,mid,451896,197652,241508,0.0297,13421,"{'male': 60.87, 'female': 39.13}","{'13-17': 5.6, '18-24': 4.0, '25-34': 24.8, '35-44': 24.8, '45-54': 15.2, '55+': 25.6}","{'USA': 26.47, 'UAE': 25.0, 'India': 16.18}","{'Delhi': 15.5, 'Bangalore': 14.34, 'Chennai': 13.95}",0.072
261,mega,4461960,2092201,3347899,0.0292,130289,"{'male': 43.33, 'female': 56.67}","{'13-17': 19.15, '18-24': 15.6, '25-34': 14.89, '35-44': 17.73, '45-54': 13.48, '55+': 19.15}","{'Germany': 36.36, 'UAE': 27.27, 'India': 16.36}","{'Mumbai': 21.2, 'Kolkata': 18.48, 'New York': 13.04}",-0.009
262,mid,322797,146811,263787,0.0675,21788,"{'male': 59.38, 'female': 40.62}","{'13-17': 22.08, '18-24': 18.83, '25-34': 12.34, '35-44': 4.55, '45-54': 20.13, '55+': 22.08}","{'India': 32.2, 'USA': 19.49, 'UK': 18.64}","{'Bangalore': 22.16, 'Mumbai': 19.76, 'New York': 19.16}",-0.026
263,nano,9082,4966,6566,0.1053,956,"{'male': 36.36, 'female': 63.64}","{'13-17': 22.32, '18-24': 10.71, '25-34': 10.71, '35-44': 33.93, '45-54': 5.36, '55+': 16.96}","{'India': 34.19, 'Germany': 27.35, 'UK': 18.8}","{'London': 19.08, 'New York': 18.32, 'Delhi': 16.79}",0.053
264,nano,9022,4320,7715,0.0769,693,"{'male': 66.67, 'female': 33.33}","{'13-17': 23.0, '18-24': 12.0, '25-34': 21.0, '35-44': 23.0, '45-54': 12.0, '55+': 9.0}","{'UAE': 26.83, 'India': 24.39, 'USA': 23.58}","{'New York': 23.64, 'London': 18.18, 'Kolkata': 15.76}",0.149
265,macro,696624,353562,608842,0.017,11842,"{'male': 28.12, 'female': 71.88}","{'13-17': 12.14, '18-24': 22.86, '25-34': 8.57, '35-44': 25.0, '45-54': 8.57, '55+': 22.86}","{'India': 23.87, 'UAE': 23.87, 'Germany': 20.65}","{'Kolkata': 19.63, 'New York': 19.02, 'London': 17.79}",0.013
266,macro,823213,353146,615155,0.034,27989,"{'male': 27.27, 'female': 72.73}","{'13-17': 27.61, '18-24': 14.93, '25-34': 15.67, '35-44': 14.93, '45-54': 14.93, '55+': 11.94}","{'Germany': 30.3, 'UK': 22.73, 'UAE': 18.18}","{'Hyderabad': 26.9, 'Mumbai': 20.69, 'Kolkata': 17.24}",0.08
267,mid,122658,67428,131201,0.0255,3127,"{'male': 30.77, 'female': 69.23}","{'13-17': 4.31, '18-24': 4.31, '25-34': 19.83, '35-44': 25.0, '45-54': 19.83, '55+': 26.72}","{'USA': 36.96, 'UK': 21.74, 'Germany': 20.65}","{'Hyderabad': 18.03, 'Delhi': 16.94, 'Chennai': 15.85}",0.04
268,nano,7437,3652,4441,0.1088,809,"{'male': 51.32, 'female': 48.68}","{'13-17': 25.78, '18-24': 7.81, '25-34': 3.91, '35-44': 22.66, '45-54': 21.88, '55+': 17.97}","{'India': 30.48, 'UK': 29.52, 'Germany': 20.95}","{'Delhi': 24.84, 'Chennai': 19.11, 'London': 15.29}",0.182
269,micro,59339,32025,60126,0.078,4628,"{'male': 50.0, 'female': 50.0}","{'13-17': 19.85, '18-24': 7.35, '25-34': 23.53, '35-44': 19.12, '45-54': 14.71, '55+': 15.44}","{'India': 33.33, 'Germany': 30.48, 'USA': 15.24}","{'Kolkata': 27.56, 'Mumbai': 22.83, 'Delhi': 21.26}",0.099
270,macro,888437,451436,877033,0.0262,23277,"{'male': 29.09, 'female': 70.91}","{'13-17': 14.39, '18-24': 9.85, '25-34': 18.18, '35-44': 12.12, '45-54': 20.45, '55+': 25.0}","{'UAE': 23.17, 'Germany': 20.73, 'USA': 19.51}","{'Bangalore': 21.21, 'Hyderabad': 18.18, 'Mumbai': 14.39}",0.042
271,nano,3662,1938,2634,0.1248,457,"{'male': 66.67, 'female': 33.33}","{'13-17': 21.8, '18-24': 5.26, '25-34': 23.31, '35-44': 20.3, '45-54': 15.79, '55+': 13.53}","{'Germany': 27.07, 'USA': 26.32, 'India': 18.8}","{'London': 17.99, 'Kolkata': 17.46, 'Chennai': 16.93}",0.071
272,micro,35374,14216,17155,0.0488,1726,"{'male': 57.89, 'female': 42.11}","{'13-17': 12.23, '18-24': 17.99, '25-34': 28.06, '35-44': 21.58, '45-54': 13.67, '55+': 6.47}","{'Germany': 29.84, 'UK': 28.23, 'India': 19.35}","{'Delhi': 26.71, 'Kolkata': 17.12, 'New York': 15.07}",0.168
273,mid,419551,186813,237033,0.0201,8432,"{'male': 49.25, 'female': 50.75}","{'13-17': 13.82, '18-24': 16.45, '25-34': 11.84, '35-44': 24.34, '45-54': 26.32, '55+': 7.24}","{'India': 26.28, 'USA': 24.82, 'UK': 24.82}","{'Hyderabad': 22.97, 'London': 18.92, 'Bangalore': 16.22}",0.092
274,mid,305267,146342,150665,0.0476,14530,"{'male': 53.03, 'female': 46.97}","{'13-17': 22.96, '18-24': 11.11, '25-34': 26.67, '35-44': 6.67, '45-54': 25.93, '55+': 6.67}","{'Germany': 38.0, 'UAE': 23.0, 'India': 20.0}","{'New York': 21.21, 'London': 19.39, 'Kolkata': 18.79}",0.098
275,mid,275530,148460,203820,0.0208,5731,"{'male': 78.38, 'female': 21.62}","{'13-17': 19.38, '18-24': 8.53, '25-34': 22.48, '35-44': 18.6, '45-54': 3.88, '55+': 27.13}","{'India': 35.35, 'UK': 32.32, 'USA': 13.13}","{'Mumbai': 17.32, 'Delhi': 17.32, 'London': 16.02}",0.119
276,mega,2954023,1635413,2941206,0.0145,42833,"{'male': 27.66, 'female': 72.34}","{'13-17': 20.37, '18-24': 8.64, '25-34': 15.43, '35-44': 20.99, '45-54': 16.67, '55+': 17.9}","{'USA': 24.49, 'UAE': 24.49, 'India': 20.41}","{'Bangalore': 17.59, 'Kolkata': 16.58, 'New York': 15.58}",0.031
277,mega,3206640,1842550,3307211,0.0103,33028,"{'male': 42.22, 'female': 57.78}","{'13-17': 15.07, '18-24': 9.59, '25-34': 18.49, '35-44': 24.66, '45-54': 16.44, '55+': 15.75}","{'Germany': 26.28, 'USA': 24.09, 'UAE': 19.71}","{'Hyderabad': 20.69, 'Chennai': 18.39, 'New York': 16.67}",0.062
278,macro,652127,305344,530877,0.0474,30910,"{'male': 45.71, 'female': 54.29}","{'13-17': 27.34, '18-24': 15.62, '25-34': 14.06, '35-44': 27.34, '45-54': 7.03, '55+': 8.59}","{'Germany': 29.1, 'UAE': 26.87, 'India': 19.4}","{'Delhi': 16.86, 'Bangalore': 16.86, 'Chennai': 15.7}",-0.009
279,micro,51549,22637,31502,0.0859,4428,"{'male': 39.39, 'female': 60.61}","{'13-17': 16.26, '18-24': 12.2, '25-34': 5.69, '35-44': 32.52, '45-54': 17.07, '55+': 16.26}","{'UAE': 33.68, 'Germany': 33.68, 'USA': 15.79}","{'New York': 18.37, 'Chennai': 17.86, 'Delhi': 17.35}",0.06
280,mid,207424,118208,133343,0.0408,8462,"{'male': 44.07, 'female': 55.93}","{'13-17': 16.05, '18-24': 7.41, '25-34': 28.4, '35-44': 29.63, '45-54': 9.88, '55+': 8.64}","{'India': 33.33, 'UK': 21.37, 'Germany': 18.8}","{'Kolkata': 18.57, 'Delhi': 14.76, 'Chennai': 14.29}",0.16
281,mid,478808,266025,480320,0.0524,25089,"{'male': 17.5, 'female': 82.5}","{'13-17': 20.0, '18-24': 10.81, '25-34': 20.0, '35-44': 20.0, '45-54': 15.14, '55+': 14.05}","{'UAE': 30.23, 'India': 27.91, 'USA': 20.16}","{'Hyderabad': 17.69, 'Mumbai': 16.33, 'Bangalore': 16.33}",0.121
282,mid,456331,218335,339146,0.0214,9765,"{'male': 63.64, 'female': 36.36}","{'13-17': 16.48, '18-24': 22.73, '25-34': 4.55, '35-44': 22.73, '45-54': 13.64, '55+': 19.89}","{'India': 33.64, 'USA': 32.71, 'UAE': 14.95}","{'Bangalore': 22.35, 'Delhi': 21.23, 'Kolkata': 18.99}",0.177
283,nano,1834,939,1793,0.1482,271,"{'male': 50.98, 'female': 49.02}","{'13-17': 14.66, '18-24': 12.07, '25-34': 27.59, '35-44': 6.9, '45-54': 29.31, '55+': 9.48}","{'UAE': 33.33, 'USA': 24.76, 'Germany': 20.0}","{'Mumbai': 27.41, 'Hyderabad': 18.52, 'Bangalore': 17.04}",-0.031
284,mid,141244,78898,139121,0.0452,6384,"{'male': 60.0, 'female': 40.0}","{'13-17': 29.41, '18-24': 27.94, '25-34': 12.5, '35-44': 13.24, '45-54': 11.03, '55+': 5.88}","{'Germany': 26.72, 'UAE': 22.41, 'UK': 18.97}","{'Hyderabad': 23.53, 'Chennai': 20.92, 'Kolkata': 15.69}",0.08
285,nano,2698,1570,2307,0.1281,345,"{'male': 70.73, 'female': 29.27}","{'13-17': 12.57, '18-24': 5.99, '25-34': 17.96, '35-44': 16.77, '45-54': 23.35, '55+': 23.35}","{'India': 25.22, 'UK': 23.48, 'UAE': 22.61}","{'Mumbai': 19.6, 'London': 19.6, 'New York': 16.08}",0.007
286,mid,194923,113315,225916,0.0464,9044,"{'male': 74.07, 'female': 25.93}","{'13-17': 27.84, '18-24': 9.28, '25-34': 20.62, '35-44': 15.46, '45-54': 21.65, '55+': 5.15}","{'UAE': 29.17, 'UK': 28.33, 'India': 25.0}","{'Mumbai': 21.79, 'Chennai': 18.99, 'Bangalore': 17.32}",0.117
287,mega,2165317,1251032,2500335,0.0202,43739,"{'male': 51.85, 'female': 48.15}","{'13-17': 3.7, '18-24': 7.41, '25-34': 25.19, '35-44': 20.74, '45-54': 25.19, '55+': 17.78}","{'India': 35.71, 'UK': 24.11, 'UAE': 16.96}","{'Mumbai': 19.7, 'Kolkata': 18.18, 'Delhi': 16.67}",0.144
288,nano,6439,2866,3071,0.0784,504,"{'male': 87.5, 'female': 12.5}","{'13-17': 11.97, '18-24': 21.13, '25-34': 11.97, '35-44': 26.76, '45-54': 21.13, '55+': 7.04}","{'India': 28.78, 'USA': 26.62, 'UAE': 25.18}","{'Bangalore': 20.0, 'New York': 17.14, 'Delhi': 15.0}",0.115
289,macro,964038,570576,634483,0.0276,26607,"{'male': 62.5, 'female': 37.5}","{'13-17': 12.08, '18-24': 12.08, '25-34': 21.48, '35-44': 18.79, '45-54': 22.15, '55+': 13.42}","{'UAE': 39.39, 'Germany': 24.24, 'USA': 14.14}","{'New York': 22.3, 'London': 20.95, 'Delhi': 20.27}",0.024
290,micro,56769,29829,30980,0.0476,2702,"{'male': 52.0, 'female': 48.0}","{'13-17': 13.1, '18-24': 23.21, '25-34': 14.29, '35-44': 15.48, '45-54': 18.45, '55+': 15.48}","{'Germany': 27.5, 'UAE': 25.0, 'India': 21.25}","{'Delhi': 21.52, 'Mumbai': 20.25, 'New York': 18.99}",0.029
291,nano,3697,1684,3049,0.1285,475,"{'male': 65.71, 'female': 34.29}","{'13-17': 10.71, '18-24': 10.71, '25-34': 10.71, '35-44': 10.71, '45-54': 17.86, '55+': 39.29}","{'India': 30.67, 'UAE': 29.33, 'USA': 21.33}","{'Hyderabad': 18.96, 'London': 17.06, 'Chennai': 16.11}",0.084
